ID;assignment;blog;chat;course;forum;quiz;resource;upload;user;PeriodoLetivo;StatusFinal
36899-5388;37;0;9;43;51;39;35;2;17;20120202;SUCESSO
36950-5468;17;0;1;29;34;27;32;3;0;20120202;SUCESSO
37225-6388;9;1;0;20;31;19;18;1;12;20130102;SUCESSO
37448-5469;4;1;12;8;14;2;9;1;6;20120202;INsucesso
37575-5388;0;0;0;1;0;0;0;0;0;20120202;INsucesso
37601-5469;0;0;0;1;1;0;0;0;0;20120202;INsucesso
37620-5468;52;0;5;52;89;38;42;6;5;20120202;SUCESSO
37621-6388;14;0;17;53;29;17;47;2;5;20130102;SUCESSO
37677-5469;28;0;17;65;76;29;88;2;15;20120202;SUCESSO
37679-5469;14;0;0;16;0;26;9;2;0;20120202;INsucesso
37744-5388;5;0;1;7;0;12;3;0;3;20120202;SUCESSO
38171-5469;18;1;8;58;134;11;110;0;62;20120202;INsucesso
38269-5468;26;0;5;23;11;10;44;1;0;20120202;INsucesso
38269-6398;20;0;0;16;17;0;8;1;0;20130102;INsucesso
38569-6388;18;1;66;68;80;29;23;1;28;20130102;SUCESSO
38822-5388;52;0;115;123;263;24;33;4;22;20120202;SUCESSO
38843-7098;9;1;0;42;42;23;37;0;5;20130202;SUCESSO
38933-5468;0;0;0;0;1;0;0;0;0;20120202;SUCESSO
38989-7118;7;0;7;50;98;21;22;0;7;20130202;SUCESSO
39021-5469;21;2;12;51;70;27;62;2;28;20120202;INsucesso
39066-6398;18;0;1;23;7;5;45;3;1;20130102;SUCESSO
39177-5388;55;0;9;46;66;26;15;1;7;20120202;INsucesso
39184-5469;21;0;13;34;30;0;7;1;15;20120202;SUCESSO
39264-5468;45;2;23;52;46;3;38;3;15;20120202;INsucesso
39358-6389;36;0;34;163;69;76;107;3;23;20130102;SUCESSO
39419-6389;42;0;16;100;50;94;109;4;28;20130102;SUCESSO
39433-5714;46;3;125;179;133;127;68;1;45;20130102;SUCESSO
39463-6388;21;0;6;68;22;27;26;2;0;20130102;INsucesso
39463-7118;19;0;4;40;63;32;9;3;2;20130202;INsucesso
39703-7118;37;0;3;60;72;72;130;5;38;20130202;SUCESSO
39705-6388;26;0;8;37;30;1;38;0;0;20130102;INsucesso
39721-6398;6;0;1;17;0;25;27;1;0;20130102;INsucesso
39721-7098;12;0;0;13;7;1;18;3;0;20130202;INsucesso
39730-6388;33;0;11;70;80;77;103;2;1;20130102;SUCESSO
39828-6388;4;0;4;16;8;0;9;0;3;20130102;INsucesso
39831-5714;11;0;18;25;16;4;21;1;1;20130102;SUCESSO
39841-7098;28;0;24;85;115;54;108;4;41;20130202;SUCESSO
39876-6398;18;0;22;81;84;40;52;1;3;20130102;SUCESSO
39882-7118;10;0;0;24;17;22;25;0;3;20130202;INsucesso
39897-6388;17;0;3;33;5;28;27;3;0;20130102;SUCESSO
39903-7118;20;0;19;62;93;42;61;1;3;20130202;INsucesso
39906-6398;13;0;10;12;20;15;40;1;11;20130102;SUCESSO
39915-7118;17;0;6;58;115;45;60;0;12;20130202;SUCESSO
39917-6389;34;0;43;101;109;43;57;0;20;20130102;SUCESSO
39918-6388;24;0;3;35;35;7;67;1;6;20130102;SUCESSO
39942-7098;15;0;8;55;94;24;61;2;5;20130202;SUCESSO
39949-6388;16;0;7;23;21;4;48;1;0;20130102;INsucesso
39956-6388;63;0;4;90;65;55;131;7;15;20130102;SUCESSO
39957-6398;52;0;5;90;216;187;98;0;5;20130102;SUCESSO
39972-6389;43;0;22;138;91;33;95;5;34;20130102;SUCESSO
39975-7098;28;0;19;118;159;60;76;0;13;20130202;SUCESSO
40022-6388;13;1;15;64;30;96;67;1;8;20130102;SUCESSO
40031-5714;14;0;0;19;4;41;16;1;0;20130102;INsucesso
40047-6388;39;0;23;76;163;88;77;2;42;20130102;SUCESSO
40082-6388;0;0;1;21;9;31;1;0;0;20130102;SUCESSO
40089-5714;19;0;2;33;27;1;75;0;2;20130102;INsucesso
40089-7274;17;0;4;39;29;8;73;2;0;20130202;SUCESSO
40098-5714;3;0;2;8;11;1;9;0;1;20130102;INsucesso
40132-6389;34;0;0;47;32;42;39;2;1;20130102;SUCESSO
40135-6388;36;2;96;203;378;80;152;1;16;20130102;SUCESSO
40137-6388;21;1;23;72;143;259;182;0;53;20130102;SUCESSO
40186-6388;12;0;3;11;3;109;27;1;0;20130102;INsucesso
40186-7098;5;0;0;8;1;1;2;1;0;20130202;INsucesso
40202-5714;9;0;5;17;5;0;2;1;0;20130102;INsucesso
40205-6388;40;0;18;76;58;108;55;2;1;20130102;INsucesso
40219-6398;75;2;21;73;155;150;50;1;57;20130102;SUCESSO
40223-6398;21;1;22;42;105;83;67;1;9;20130102;SUCESSO
40229-6388;20;1;5;53;90;54;38;1;25;20130102;SUCESSO
40237-6398;15;0;4;43;33;19;7;1;10;20130102;INsucesso
40271-6398;20;0;6;63;52;68;29;3;2;20130102;SUCESSO
40275-6398;12;0;32;73;135;139;34;1;3;20130102;SUCESSO
40306-5714;21;0;12;95;45;42;48;1;8;20130102;SUCESSO
40343-5714;13;0;4;17;23;1;28;1;0;20130102;INsucesso
40362-6388;12;0;5;48;19;42;45;0;3;20130102;INsucesso
40362-7118;3;0;79;16;20;1;0;0;1;20130202;INsucesso
40376-6398;2;0;3;7;11;0;0;0;0;20130102;INsucesso
40394-7118;33;0;3;44;84;43;44;3;3;20130202;SUCESSO
4040-7098;26;0;16;57;129;32;59;1;4;20130202;SUCESSO
40445-6398;13;1;5;45;34;19;31;1;11;20130102;SUCESSO
40446-5714;31;0;7;37;22;10;40;1;1;20130102;SUCESSO
40478-6388;15;0;29;65;93;10;19;0;13;20130102;SUCESSO
40513-6398;43;1;71;260;496;171;104;17;12;20130102;SUCESSO
40532-6388;12;2;5;65;62;86;64;1;22;20130102;SUCESSO
40563-6398;23;0;25;67;49;36;38;1;1;20130102;SUCESSO
40582-5714;21;0;0;31;21;135;44;3;1;20130102;SUCESSO
40601-6388;41;0;49;168;141;145;124;1;47;20130102;SUCESSO
40603-6389;47;0;17;425;193;35;122;2;71;20130102;SUCESSO
40701-7274;17;0;0;37;14;28;10;2;8;20130202;SUCESSO
40702-5714;30;1;86;239;230;97;88;1;14;20130102;SUCESSO
40711-6389;16;0;8;45;75;2;59;1;6;20130102;SUCESSO
40767-7274;17;0;6;58;143;50;64;0;5;20130202;SUCESSO
40806-5714;24;1;42;56;53;53;89;0;30;20130102;SUCESSO
40833-5714;3;0;0;17;27;22;8;0;1;20130102;INsucesso
40895-5714;31;1;1;41;45;95;34;3;23;20130102;INsucesso
40895-7118;22;0;0;51;113;41;9;3;30;20130202;INsucesso
40974-7274;35;0;101;82;191;26;76;7;1;20130202;INsucesso
41012-6398;38;0;17;66;55;81;35;3;15;20130102;SUCESSO
41014-6398;25;0;52;148;205;26;42;0;12;20130102;SUCESSO
41024-7118;10;0;2;19;48;29;19;0;22;20130202;SUCESSO
41037-7118;43;0;21;124;365;56;101;4;17;20130202;SUCESSO
41045-6398;8;0;5;17;2;13;18;0;2;20130102;INsucesso
41048-6398;26;1;15;62;361;55;57;4;12;20130102;SUCESSO
41053-5714;28;0;46;75;108;25;50;1;7;20130102;INsucesso
41063-7118;9;0;6;24;24;5;25;1;2;20130202;INsucesso
41069-6398;27;0;6;100;195;46;58;2;19;20130102;SUCESSO
41078-6389;34;6;45;79;136;166;179;1;43;20130102;SUCESSO
41087-5714;24;0;72;89;67;15;128;1;62;20130102;SUCESSO
41092-6398;16;0;4;52;51;73;58;2;4;20130102;SUCESSO
41094-6389;24;0;5;45;8;38;90;3;3;20130102;INsucesso
41098-7098;14;0;30;45;85;31;25;2;0;20130202;INsucesso
41101-7098;23;3;28;80;168;25;65;4;7;20130202;SUCESSO
41144-6388;2;0;11;12;4;12;2;0;1;20130102;INsucesso
41144-7098;0;0;0;2;0;0;0;0;0;20130202;INsucesso
41146-6398;13;0;7;20;14;36;24;1;0;20130102;SUCESSO
41147-6389;11;0;1;30;27;19;53;0;0;20130102;INsucesso
41154-6388;16;0;5;25;17;2;23;1;25;20130102;INsucesso
41165-6398;15;0;5;32;50;39;51;1;6;20130102;SUCESSO
41171-6398;14;0;8;37;18;34;49;3;6;20130102;INsucesso
41171-7274;35;0;0;62;17;11;23;2;6;20130202;INsucesso
41173-6398;75;0;19;145;213;55;108;9;1;20130102;SUCESSO
41175-7118;15;0;17;48;233;137;39;0;8;20130202;SUCESSO
41177-6388;3;0;0;3;0;0;0;0;1;20130102;INsucesso
41183-6389;46;0;20;111;136;137;35;2;18;20130102;INsucesso
41184-6388;15;0;10;54;61;29;57;1;39;20130102;SUCESSO
41185-6388;10;0;0;18;17;1;4;1;1;20130102;INsucesso
41206-6398;7;0;6;11;1;1;3;0;0;20130102;INsucesso
41216-6389;16;0;16;68;52;60;59;1;13;20130102;SUCESSO
41230-5714;26;0;0;63;46;25;39;1;4;20130102;INsucesso
41230-7118;20;0;0;49;57;46;10;1;7;20130202;SUCESSO
41235-5714;8;0;0;13;26;1;7;1;3;20130102;INsucesso
41241-6388;19;0;16;85;67;113;89;1;27;20130102;SUCESSO
41249-5714;14;0;7;41;23;23;24;1;24;20130102;INsucesso
41267-5714;16;0;1;13;11;12;3;2;0;20130102;SUCESSO
41268-6398;16;2;2;43;106;54;56;7;39;20130102;SUCESSO
41278-6389;19;0;2;68;62;32;20;0;4;20130102;SUCESSO
41280-5714;29;0;14;51;49;35;60;1;4;20130102;SUCESSO
41290-6398;31;0;7;50;36;76;61;2;0;20130102;SUCESSO
41297-5714;25;0;2;39;30;6;46;1;4;20130102;INsucesso
41306-6388;10;0;22;45;47;12;35;1;25;20130102;SUCESSO
41311-6388;16;0;26;39;26;23;9;1;2;20130102;INsucesso
41311-7098;21;0;18;64;76;29;8;1;9;20130202;INsucesso
41333-6388;11;0;0;24;14;100;28;1;0;20130102;INsucesso
41337-6388;11;0;0;20;6;31;18;1;0;20130102;SUCESSO
41338-6398;15;0;2;43;62;1;32;2;8;20130102;INsucesso
41341-7098;14;1;6;47;127;17;81;1;14;20130202;SUCESSO
41361-5714;17;0;15;25;4;22;18;1;0;20130102;INsucesso
41369-6388;7;0;14;46;56;3;26;0;15;20130102;INsucesso
41376-6388;23;0;3;32;14;180;18;1;0;20130102;SUCESSO
41384-5714;11;0;1;29;21;3;12;1;11;20130102;SUCESSO
41394-5714;16;0;86;17;40;2;34;1;0;20130102;INsucesso
41396-7274;4;0;0;9;21;3;5;0;4;20130202;INsucesso
41422-6388;15;0;42;101;74;223;54;0;27;20130102;SUCESSO
41454-6388;9;0;0;12;5;0;12;0;2;20130102;INsucesso
41463-6389;17;1;3;62;55;37;24;1;5;20130102;SUCESSO
41468-7274;10;0;1;27;21;4;25;1;0;20130202;SUCESSO
41482-6388;23;0;15;86;23;23;27;3;4;20130102;SUCESSO
41496-6398;17;0;5;24;22;1;5;1;7;20130102;INsucesso
41522-7118;15;0;8;51;116;95;62;1;4;20130202;SUCESSO
41595-7274;19;0;4;12;9;0;14;3;0;20130202;SUCESSO
41629-6389;11;0;7;27;65;64;47;1;16;20130102;SUCESSO
41642-6388;12;0;1;27;15;3;81;1;0;20130102;INsucesso
41645-7274;1;0;0;11;3;1;13;0;0;20130202;SUCESSO
41667-6389;63;1;91;115;196;29;150;1;38;20130102;SUCESSO
41726-6389;26;0;1;26;16;3;12;1;2;20130102;INsucesso
41758-6388;11;0;4;21;36;69;14;1;1;20130102;INsucesso
41769-7098;22;0;1;45;138;0;9;1;4;20130202;INsucesso
41773-5714;13;0;6;22;27;55;15;3;0;20130102;SUCESSO
41780-6398;16;0;3;75;166;46;22;1;22;20130102;SUCESSO
41822-6388;3;1;10;14;27;0;23;0;10;20130102;INsucesso
41960-5714;5;0;2;24;23;20;35;0;1;20130102;SUCESSO
41962-6388;16;2;22;58;95;66;121;0;28;20130102;SUCESSO
42044-5714;22;0;16;83;102;43;47;1;0;20130102;SUCESSO
42045-6388;14;0;0;18;27;14;16;1;2;20130102;SUCESSO
42203-6388;17;0;13;33;34;49;43;1;1;20130102;SUCESSO
42206-7274;18;0;1;49;112;14;45;3;3;20130202;SUCESSO
42222-5714;18;1;24;73;54;51;58;1;12;20130102;SUCESSO
42228-7118;12;0;4;60;110;17;5;3;2;20130202;INsucesso
42233-6389;47;3;40;91;196;123;137;5;48;20130102;SUCESSO
42236-5714;8;0;2;22;50;11;23;0;2;20130102;INsucesso
42332-6389;8;0;8;41;51;65;22;0;2;20130102;INsucesso
42519-6398;43;0;10;74;76;150;42;1;11;20130102;SUCESSO
42858-7274;31;1;40;106;157;37;130;3;54;20130202;SUCESSO
43845-7098;12;1;32;52;121;27;62;1;2;20130202;SUCESSO
43900-7098;40;0;16;78;121;40;83;0;7;20130202;SUCESSO
43984-6398;47;0;40;166;329;47;98;1;92;20130102;SUCESSO
44005-6388;22;0;4;74;19;24;58;1;11;20130102;SUCESSO
44016-6398;33;2;18;97;85;35;34;1;48;20130102;INsucesso
44040-5714;12;2;18;70;42;92;34;0;3;20130102;INsucesso
44047-7274;27;0;3;46;84;10;29;1;9;20130202;INsucesso
44051-7118;45;0;19;145;230;78;131;2;40;20130202;SUCESSO
44059-6398;9;0;8;63;76;15;61;2;14;20130102;INsucesso
44061-6388;27;0;5;90;50;141;28;2;6;20130102;SUCESSO
44070-7098;22;0;117;132;186;30;97;2;64;20130202;SUCESSO
44073-6389;35;3;12;75;84;42;118;1;59;20130102;SUCESSO
44078-6398;57;0;12;146;139;150;196;2;9;20130102;INsucesso
44078-7098;62;0;4;81;76;116;70;2;5;20130202;SUCESSO
44098-6398;62;0;42;124;91;34;96;3;9;20130102;SUCESSO
44103-6398;48;0;14;140;162;73;101;1;7;20130102;SUCESSO
44106-6398;29;1;34;83;81;50;25;1;26;20130102;SUCESSO
44108-6389;17;0;23;41;23;21;54;3;12;20130102;SUCESSO
44116-6389;39;10;20;80;73;247;64;2;48;20130102;SUCESSO
44117-6398;18;3;3;69;92;184;260;1;42;20130102;SUCESSO
44121-7118;3;0;5;39;32;1;25;0;1;20130202;INsucesso
44124-6398;8;0;2;13;4;0;15;1;0;20130102;INsucesso
44145-7118;16;0;0;23;11;18;17;3;0;20130202;SUCESSO
44155-7274;4;0;0;9;2;4;3;1;0;20130202;SUCESSO
44181-6398;76;0;9;87;103;6;8;1;18;20130102;INsucesso
4421-4130;27;0;18;62;53;28;59;4;1;20120102;SUCESSO
4425-6388;8;0;3;21;0;3;31;0;15;20130102;INsucesso
44288-6398;27;0;13;38;56;6;43;2;6;20130102;INsucesso
45029-7274;93;4;67;357;375;27;128;7;180;20130202;SUCESSO
45077-7098;25;0;7;118;127;55;79;3;24;20130202;SUCESSO
45171-7118;40;4;71;220;596;39;113;1;100;20130202;SUCESSO
45234-7098;30;0;13;80;183;41;98;1;20;20130202;SUCESSO
45242-7274;19;0;3;33;52;1;21;0;19;20130202;SUCESSO
45342-7098;14;0;52;66;175;19;68;0;9;20130202;SUCESSO
45395-7118;14;0;6;37;54;8;94;1;97;20130202;INsucesso
45397-7098;0;0;0;1;0;0;0;0;0;20130202;INsucesso
45405-7274;24;0;4;42;22;6;31;3;3;20130202;SUCESSO
45413-7118;29;0;0;39;27;33;54;3;0;20130202;SUCESSO
45421-7118;18;0;16;83;40;54;73;2;99;20130202;SUCESSO
45428-7274;0;0;0;4;4;0;0;0;1;20130202;INsucesso
45445-7118;10;0;6;30;26;121;47;1;3;20130202;INsucesso
45446-7118;23;0;27;46;44;44;26;4;10;20130202;SUCESSO
45455-7098;9;0;21;64;153;27;54;1;4;20130202;SUCESSO
45483-7098;21;0;9;50;38;14;45;1;4;20130202;SUCESSO
45499-7118;7;0;24;25;3;0;26;1;2;20130202;INsucesso
45502-7118;24;0;0;118;85;14;43;4;54;20130202;SUCESSO
45533-7098;30;0;18;79;57;134;44;1;4;20130202;SUCESSO
45535-7274;22;9;139;77;206;53;98;9;42;20130202;SUCESSO
